f;p;d;h;R;Ct;zone;htg;hrg;pol;phi_t;phi_r;lam_t;lam_r;azimuth;distance_ring
0.9;50;[0, 1.0];[14, 14];[15, 15];[4, 4];[4, 4];57;10;1;9.354041397711129;9.354041397711129;-13.406898868930545;-13.406898868930545;0.0;1
0.9;50;[0, 1.0];[5, 5];[0, 0];[2, 2];[4, 4];57;10;1;9.353896938002;9.353896938002;-13.405318687784602;-13.405318687784602;10.0;1
0.9;50;[0, 1.0];[4, 4];[0, 0];[2, 2];[4, 4];57;10;1;9.353482143301617;9.353482143301617;-13.40378777477706;-13.40378777477706;20.0;1
0.9;50;[0, 1.0];[4, 4];[10, 10];[3, 3];[4, 4];57;10;1;9.35280961837919;9.35280961837919;-13.402352648787232;-13.402352648787232;30.0;1
0.9;50;[0, 1.0];[6, 6];[10, 10];[3, 3];[4, 4];57;10;1;9.351899799342483;9.351899799342483;-13.401056917258163;-13.401056917258163;40.0;1
0.9;50;[0, 1.0];[6, 6];[0, 0];[2, 2];[4, 4];57;10;1;9.35078033248205;9.35078033248205;-13.399939950981276;-13.399939950981276;50.0;1
0.9;50;[0, 1.0];[6, 6];[0, 0];[2, 2];[4, 4];57;10;1;9.349485234023053;9.349485234023053;-13.39903568775727;-13.39903568775727;60.0;1
0.9;50;[0, 1.0];[7, 7];[15, 15];[4, 4];[4, 4];57;10;1;9.34805385634309;9.34805385634309;-13.398371601292654;-13.398371601292654;70.0;1
0.9;50;[0, 1.0];[7, 7];[0, 0];[2, 2];[4, 4];57;10;1;9.346529692093162;9.346529692093162;-13.397967866651816;-13.397967866651816;80.0;1
0.9;50;[0, 1.0];[7, 7];[0, 0];[2, 2];[4, 4];57;10;1;9.344959052579249;9.344959052579249;-13.397836747594349;-13.397836747594349;90.0;1
0.9;50;[0, 1.0];[6, 6];[0, 0];[2, 2];[4, 4];57;10;1;9.343389660575317;9.343389660575317;-13.39798222437117;-13.39798222437117;100.0;1
0.9;50;[0, 1.0];[5, 5];[0, 0];[2, 2];[4, 4];57;10;1;9.341869200329205;9.341869200329205;-13.398399873237308;-13.398399873237308;110.0;1
0.9;50;[0, 1.0];[5, 5];[0, 0];[2, 2];[4, 4];57;10;1;9.340443868814043;9.340443868814043;-13.39907700128792;-13.39907700128792;120.0;1
0.9;50;[0, 1.0];[6, 6];[0, 0];[2, 2];[4, 4];57;10;1;9.339156972230905;9.339156972230905;-13.399993032469654;-13.399993032469654;130.0;1
